clip	duration[ms]
common_voice_pl_39992143.mp3	5112
common_voice_pl_40142885.mp3	5616
common_voice_pl_39793144.mp3	3708
common_voice_pl_40176609.mp3	5364
common_voice_pl_40007001.mp3	2340
common_voice_pl_40176634.mp3	8496
common_voice_pl_40006922.mp3	5868
common_voice_pl_39705193.mp3	5364
common_voice_pl_39618757.mp3	9072
common_voice_pl_40024263.mp3	4140
common_voice_pl_39618572.mp3	7992
common_voice_pl_39653721.mp3	4716
common_voice_pl_39599723.mp3	4500
common_voice_pl_39590747.mp3	5904
common_voice_pl_39597915.mp3	7596
common_voice_pl_39705189.mp3	6624
common_voice_pl_39793170.mp3	7020
common_voice_pl_39793037.mp3	4788
common_voice_pl_39793139.mp3	5076
common_voice_pl_39925543.mp3	4068
common_voice_pl_39653733.mp3	6156
common_voice_pl_39600190.mp3	6588
common_voice_pl_40006986.mp3	3168
common_voice_pl_39606930.mp3	6552
common_voice_pl_40006758.mp3	4968
common_voice_pl_39708145.mp3	5220
common_voice_pl_39596323.mp3	3168
common_voice_pl_39793158.mp3	4140
common_voice_pl_40006747.mp3	9216
common_voice_pl_39653734.mp3	4932
common_voice_pl_40006750.mp3	6228
common_voice_pl_39817396.mp3	5076
common_voice_pl_39618866.mp3	4788
common_voice_pl_39638670.mp3	6264
common_voice_pl_39604737.mp3	4968
common_voice_pl_39980759.mp3	6588
common_voice_pl_39666882.mp3	2700
common_voice_pl_39961119.mp3	4572
common_voice_pl_40026482.mp3	3996
common_voice_pl_39900305.mp3	4320
common_voice_pl_39702846.mp3	2952
common_voice_pl_39618561.mp3	5760
common_voice_pl_39606957.mp3	3348
common_voice_pl_39838768.mp3	4500
common_voice_pl_39602167.mp3	6948
common_voice_pl_39604717.mp3	3456
common_voice_pl_39878393.mp3	4716
common_voice_pl_39602125.mp3	5364
common_voice_pl_39593101.mp3	6948
common_voice_pl_40178899.mp3	7596
common_voice_pl_39793168.mp3	2268
common_voice_pl_40176653.mp3	7812
common_voice_pl_39793147.mp3	4140
common_voice_pl_39683906.mp3	6876
common_voice_pl_39880035.mp3	9720
common_voice_pl_40006996.mp3	2628
common_voice_pl_39719636.mp3	2088
common_voice_pl_39897624.mp3	4464
common_voice_pl_39683893.mp3	6516
common_voice_pl_39793184.mp3	6948
common_voice_pl_39878416.mp3	4860
common_voice_pl_39683883.mp3	6264
common_voice_pl_40176673.mp3	3780
common_voice_pl_39793197.mp3	2088
common_voice_pl_39618780.mp3	8712
common_voice_pl_39590752.mp3	6480
common_voice_pl_39701953.mp3	2844
common_voice_pl_40006981.mp3	4140
common_voice_pl_39592898.mp3	9216
common_voice_pl_39595958.mp3	7056
common_voice_pl_39748160.mp3	7308
common_voice_pl_40176654.mp3	5436
common_voice_pl_39897623.mp3	4968
common_voice_pl_39793213.mp3	4968
common_voice_pl_39593099.mp3	4464
common_voice_pl_40088776.mp3	7776
common_voice_pl_40007015.mp3	5148
common_voice_pl_40006792.mp3	3240
common_voice_pl_39992153.mp3	7164
common_voice_pl_40007000.mp3	2340
common_voice_pl_39599720.mp3	5148
common_voice_pl_39606945.mp3	5616
common_voice_pl_39838769.mp3	5400
common_voice_pl_40007760.mp3	5508
common_voice_pl_39606963.mp3	4788
common_voice_pl_40176672.mp3	2916
common_voice_pl_39592186.mp3	4608
common_voice_pl_39748151.mp3	5256
common_voice_pl_40006801.mp3	3096
common_voice_pl_40056907.mp3	9108
common_voice_pl_39897626.mp3	4608
common_voice_pl_40176679.mp3	7308
common_voice_pl_39618723.mp3	6624
common_voice_pl_39702826.mp3	6012
common_voice_pl_40088780.mp3	6156
common_voice_pl_40178924.mp3	4788
common_voice_pl_39793084.mp3	5940
common_voice_pl_39999097.mp3	5364
common_voice_pl_39618727.mp3	7308
common_voice_pl_39653708.mp3	6840
common_voice_pl_39748180.mp3	5040
common_voice_pl_40006803.mp3	2880
common_voice_pl_40006752.mp3	4500
common_voice_pl_39618587.mp3	5940
common_voice_pl_39653818.mp3	5004
common_voice_pl_39880036.mp3	6768
common_voice_pl_40116437.mp3	8568
common_voice_pl_39592152.mp3	8640
common_voice_pl_40006810.mp3	4716
common_voice_pl_39593202.mp3	5796
common_voice_pl_39999098.mp3	5076
common_voice_pl_39623486.mp3	3096
common_voice_pl_39992151.mp3	2772
common_voice_pl_40143847.mp3	5256
common_voice_pl_39593103.mp3	6300
common_voice_pl_39793155.mp3	2628
